State/Region,Both sexes,Male,Female,SexRatio,UrbanRatio,Latitude,Longitude,,,,,
Kachin,1584375,766609,817766,93.7,32.1,25.85,97.3,,,,,
Kayah,311448,152045,159403,95.4,21.3,19.3,97,,,,,
Kayin,1556552,742712,813840,91.3,18.5,16.8,97.6,,,,,
Chin,509037,240541,268496,89.6,20.2,22,93.5,,,,,
Sagaing,5309914,2440997,2868917,85.1,16.7,22,95,,,,,
Tanintharyi,1426426,689199,737228,93.5,23.7,12,99,,,,,
Bago,4814582,2245151,2569431,87.4,18,18.2,96.5,,,,,
Magway,3805211,1712703,2092508,81.8,13.7,20.15,94.9,,,,,
Mandalay,6168225,2826170,3342055,84.6,32.1,21.9833,96.0833,,,,,
Mon,1889274,867593,1021681,84.9,25.7,16.25,97.75,,,,,
Rakhine,3230175,1501376,1728799,86.8,16.7,20,93,,,,,
Yangon,7831830,3639201,4192629,86.8,69.1,16.8,96.15,,,,,
Shan,5384244,2589082,2795162,92.6,29.1,21.5,98,,,,,
Ayeyawady,6140001,2944155,3195845,92.1,14.3,17,95,,,,,
Naypyitaw,1183314,559302,624012,89.6,26,19.75,96.1,,,,,
